Código del bien o servicio;Descripción del bien o servicio;Impuesto
0111100000100;Trigo duro, para siembra (semillas);1%
0111100009900;Trigo, para siembra (semillas), excepto duro;1%
0111200000100;Trigo duro, excepto para siembra;1%
0111200000200;Trigo, para producción de alimento para animales ;1%
0111200009900;Trigo, n.c.p.;1%
0112100000000;Maíz, para siembra (semillas);1%
0112201010100;Maíz blanco, desgranado, seco, para consumo humano;1%
0112201010200;Maíz blanco, desgranado, seco, para producción de alimento para animales;1%
0112201020100;Maíz blanco, en mazorca, seco, para consumo humano;1%
0112201020200;Maíz blanco, en mazorca, seco, para producción de alimento para animales;1%
0112202010100;Maíz amarillo, desgranado, seco, para consumo humano;1%
0112202010200;Maíz amarillo, desgranado, seco, para producción de alimento para animales;1%
0112202020100;Maíz amarillo, en mazorca, seco, para consumo humano;1%
0112202020200;Maíz amarillo, en mazorca, seco, para producción de alimento para animales;1%
0112203010000;"Maíz palomero tipo ""pop"", desgranado, seco";1%
0112203020000;"Maíz palomero tipo ""pop"", en mazorca, seco";1%
0112299010100;Maíz, desgranado, seco, para consumo humano, n.c.p.;1%
0112299010200;Maíz, desgranado, seco, para producción de alimento para animales, n.c.p.;1%
0112299020100;Maíz, en mazorca, seco, para consumo humano, n.c.p.;1%
0112299020200;Maíz, en mazorca, seco, para producción de alimento para animales, n.c.p.;1%
0113100000000;Arroz, para siembra (semillas);13%
0113200000000;Arroz con cáscara (no descascarillado), excepto para siembra;13%
0114100000000;Sorgo, para siembra (semillas);13%
0114200000100;Sorgo, para producción de alimento para animales;1%
0114200009900;Sorgo, n.c.p.;1%
0115100000000;Cebada, para siembra (semillas);13%
0115200000000;Cebada, excepto para siembra;13%
0116100000000;Centeno, para siembra (semillas);13%
0116200000000;Centeno, excepto para siembra;13%
0117100000000;Avena, para siembra (semillas);1%
0117200000000;Avena, excepto para siembra;1%
0118100000000;Mijo, para siembra (semillas);13%
0118200000000;Mijo, excepto para siembra;13%
0119100000100;Triticale, para siembra (semillas);13%
0119100009900;Triticale, excepto para siembra;13%
0119200000100;Trigo negro o sarraceno (alforfón), para siembra (semillas);13%
0119200009900;Trigo negro o sarraceno (alforfón), excepto para siembra;13%
0119300000100;Mijo fonio (cereal africano), para siembra (semillas);13%
0119300009900;Mijo fonio (cereal africano), excepto para siembra;13%
0119400000100;Quinoa, para siembra;13%
0119400009900;Quinoa, excepto para siembra;13%
0119500000100;Alpiste, para siembra;13%
0119500009900;Alpiste, excepto para siembra;13%
0119900000100;Cereales, para siembra, n.c.p.;13%
0119900009900;Cereales, excepto para siembra, n.c.p.;13%
0121100000000;Espárragos, frescos o refrigerados;13%
0121201010000;Col o colinabo orgánico, fresco o refrigerado;13%
0121201020100;Col china, fresca o refrigerada;13%
0121201020200;Col forrajera (berza), fresca o refrigerada;13%
0121201020300;Col de Bruselas, fresca o refrigerada;13%
0121201020400;Colinabo, fresco o refrigerado;13%
0121201020500;Col crespa (Kale), fresca o refrigerada;13%
0121202010000;Repollo orgánico, fresco o refrigerado;1%
0121202020100;Repollo blanco, fresco o refrigerado;1%
0121202020200;Repollo morado, fresco o refrigerado;1%
0121202029900;Repollo, fresco o refrigerado, n.c.p.;1%
0121301010100;Brócoli chino orgánico, fresco o refrigerado;13%
0121301010200;Brócoli orgánico, fresco o refrigerado;13%
0121301020100;Brócoli chino, fresco o refrigerado;13%
0121301020200;Brócoli, fresco o refrigerado;13%
0121302010000;Coliflor orgánica, fresca o refrigerada;1%
0121302020000;Coliflor, fresca o refrigerada;1%
0121401010100;Endibia orgánica, fresca o refrigerada;13%
0121401010200;Achicoria orgánica, fresca o refrigerada;13%
0121401020100;Endibia, fresca o refrigerada;13%
0121401020200;Achicoria, fresca o refrigerada;13%
0121402010000;Lechuga orgánica, fresca o refrigerada;1%
0121402020100;"Lechuga ""Boston"", fresca o refrigerada";1%
0121402020200;"Lechuga ""frisee"", fresca o refrigerada";1%
0121402020300;"Lechuga ""lolla rossa"", fresca o refrigerada";1%
0121402020400;"Lechuga ""iceberg"", fresca o refrigerada";1%
0121402020500;Lechuga morada, fresca o refrigerada;1%
0121402020600;Lechuga romana o escarola, fresca o refrigerada;1%
0121402020700;"Lechuga ""baby leaf"", fresca o refrigerada";1%
0121402020800;Lechuga americana, fresca o refrigerada;1%
0121402020900;"Lechuga ""salanova"", fresca o refrigerada";1%
0121402021000;"Lechuga ""Verónica"", fresca o refrigerada";1%
0121402021100;Lechuga criolla, fresca o refrigerada;1%
0121402029900;Lechuga, fresca o refrigerada, n.c.p.;1%
0121500010000;Espinacas orgánicas, frescas o refrigeradas;13%
0121500020000;Espinacas, frescas o refrigeradas;13%
0121600010000;Alcachofa orgánica, fresca o refrigerada;13%
0121600020000;Alcachofa, fresca o refrigerada;13%
0121901010000;Berros orgánicos, frescos o refrigerados;13%
0121901020100;Berros de tierra, frescos o refrigerados;13%
0121901020200;Berros de agua, frescos o refrigerados;13%
0121999010100;Acedera (alazán) orgánica, fresca o refrigerada;13%
0121999010200;Acelga orgánica, fresca o refrigerada;13%
0121999010300;Arúgula orgánica, fresca o refrigerada;13%
0121999010400;Estragón orgánico, fresco o refrigerado;13%
0121999010500;Mostaza china orgánica, fresca o refrigerada;13%
0121999010600;Perejil orgánico, fresco o refrigerado;13%
0121999010700;Perifollo orgánico, fresco o refrigerado;13%
0121999010800;Raddichio orgánico, fresco o refrigerado;13%
0121999010900;Satureja (savory) orgánica, fresca o refrigerada;13%
0121999011000;Verdolaga orgánica, fresca o refrigerada;13%
0121999019900;Hortalizas de hoja o de tallo orgánicas, frescas o refrigeradas, n.c.p.;13%
0121999020100;Acedera (alazán), fresca o refrigerada;13%
0121999020200;Acelga, fresca o refrigerada;13%
0121999020300;Arúgula, fresca o refrigerada;13%
0121999020400;Estragón, fresco o refrigerado;13%
0121999020500;Mostaza china, fresca o refrigerada;13%
0121999020600;Perejil, fresco o refrigerado;13%
0121999020700;Perifollo, fresco o refrigerado;13%
0121999020800;Raddichio, fresco o refrigerado;13%
0121999020900;Satureja (savory), fresca o refrigerada;13%
0121999021000;Verdolaga, fresca o refrigerada;13%
0121999029900;Hortalizas de hoja o de tallo, frescas o refrigeradas, n.c.p.;13%
0122100000100;"Sandía ""charleston gray"", fresca o refrigerada";1%
0122100000200;"Sandía ""crimson sweet"", fresca o refrigerada";1%
0122100000300;"Sandía ""mickey lee"", fresca o refrigerada";1%
0122100000400;"Sandía ""sugar baby"", fresca o refrigerada";1%
0122100000500;Sandía sin semillas, fresca o refrigerada;1%
0122100000600;"Sandía ""klondike"", fresca o refrigerada";1%
0122100000700;"Sandía ""sweet marvell"", fresca o refrigerada";1%
0122100000800;Sandía, rechazo de exportación, fresca o refrigerada;1%
0122100009900;Sandía, fresca o refrigerada, n.c.p.;1%
0122900000100;"Melón ""cantaloupe"", fresco o refrigerado";1%
0122900000200;"Melón ""charentais"", fresco o refrigerado";1%
0122900000300;"Melón ""galia"", fresco o refrigerado";1%
0122900000400;"Melón verde o ""honeydew"", fresco o refrigerado";1%
0122900000500;"Melón ""piel de sapo"", fresco o refrigerado";1%
0122900000600;Melón amarillo o dorado, fresco o refrigerado;1%
0122900000700;"Melón ""orange flesh"", fresco o refrigerado";1%
0122900000800;Melón rechazo de exportación, fresco o refrigerado;1%
0122900009900;Melón, fresco o refrigerado, n.c.p.;1%
0123100010100;Chile orgánico, fresco o refrigerado (ají, picante, jalapeño o dulce);1%
0123100019900;Chile orgánico, fresco o refrigerado, n.c.p.;1%
0123100020100;Chile ají, fresco o refrigerado;1%
0123100020200;Chile de árbol, fresco o refrigerado;1%
0123100020300;Chile amarillo, fresco o refrigerado;1%
0123100020400;Chile picante, fresco o refrigerado;1%
0123100020500;Chile habanero, fresco o refrigerado;1%
0123100020600;Chile jalapeño, fresco o refrigerado;1%
0123100020700;Chile tabasco, fresco o refrigerado;1%
0123100020800;Chile panameño, fresco o refrigerado;1%
0123100020900;"Chile ""naga jolokia"", fresco o refrigerado";1%
0123100021000;Chile escorpión, fresco o refrigerado;1%
0123100021100;Chile paprika, fresco o refrigerado;1%
0123100021200;Chile dulce, fresco o refrigerado;1%
0123100029900;Chile, fresco o refrigerado, n.c.p.;1%
0123200000100;Pepino, fresco o refrigerado;1%
0123200000200;Pepinillo, fresco o refrigerado;13%
0123300000000;Berenjenas, frescas o refrigeradas;13%
0123400010100;Tomate cherry orgánico, fresco o refrigerado;1%
0123400010200;Tomate verde orgánico, fresco o refrigerado;1%
0123400010300;Tomate roma o saladette orgánico, fresco o refrigerado;1%
0123400010400;Tomate pera orgánico, fresco o refrigerado;1%
0123400010500;Tomate criollo orgánico, fresco o refrigerado;1%
0123400010600;Tomate híbrido orgánico, fresco o refrigerado;1%
0123400019900;Tomate orgánico, fresco o refrigerado, n.c.p.;1%
0123400020100;Tomate cherry, fresco o refrigerado;1%
0123400020200;Tomate verde, fresco o refrigerado;1%
0123400020300;Tomate roma o saladette, fresco o refrigerado;1%
0123400020400;Tomate pera, fresco o refrigerado;1%
0123400020500;Tomate criollo, fresco o refrigerado;1%
0123400020600;Tomate híbrido, fresco o refrigerado;1%
0123400029900;Tomate, fresco o refrigerado, n.c.p.;1%
0123501000100;Calabaza mini, fresca o refrigerada;13%
0123501009900;Calabaza, fresca o refrigerada, n.c.p.;13%
0123502000100;Ayote tierno mini, fresco o refrigerado;13%
0123502000200;Ayote tierno, fresco o refrigerado;1%
0123502000300;Ayote sazón (mantequilla), fresco o refrigerado;1%
0123503000000;Escalopin, fresco o refrigerado;13%
0123504000000;Chiverre (cayote), fresco o refrigerado;1%
0123505000000;Pipián, fresco o refrigerado;1%
0123506000100;Zapallo mini, fresco o refrigerado;13%
0123506009900;Zapallo, fresco o refrigerado, n.c.p.;13%
0123507000100;Zucchini mini, fresco o refrigerado;13%
0123507009900;Zucchini, fresco o refrigerado, n.c.p.;13%
0123901000000;Alcaparra, fresca o refrigerada;13%
0123902000100;Chayote quelite, fresco o refrigerado;1%
0123902000200;Chayote negro, fresco o refrigerado;1%
